address,city,state,zip_code,phone,store_url
139 Flatbush Ave (Atlantic Terminal),Brooklyn,NY,11217,(917) 618-6032,https://www.mcdonalds.com/us/en-us/location/ny/brooklyn/139-flatbush-ave-atlantic-terminal/27008.html
3105 N Broadway,Los Angeles,CA,90031-2703,(323) 227-4056,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/3105-n-broadway/11157.html
809 Ave Of The Americas,Manhattan,NY,10001,(212) 463-9495,https://www.mcdonalds.com/us/en-us/location/ny/manhattan/809-ave-of-the-americas/3835.html
357 Hamilton Ave,Brooklyn,NY,11231,(718) 624-6688,https://www.mcdonalds.com/us/en-us/location/ny/brooklyn/357-hamilton-ave/4344.html
201 W Washington Blvd,Los Angeles,CA,90007,(213) 880-6733,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/201-w-washington-blvd/6688.html
1617 N Eastern Avenue,Los Angeles,CA,90063-1053,(323) 459-0223,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/1617-n-eastern-avenue/3100.html
429 7th Ave,New York,NY,10001,(212) 736-7890,https://www.mcdonalds.com/us/en-us/location/ny/new-york/429-7th-ave/2276.html
4947 Huntington Dr,Los Angeles,CA,90032-1643,(323) 342-0669,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/4947-huntington-dr/4310.html
245 N Soto St,Los Angeles,CA,90033-2914,(323) 263-9447,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/245-n-soto-st/10129.html
1800 S Western Avenue,Los Angeles,CA,90006,(424) 944-3256,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/1800-s-western-avenue/1135.html
401 Park Ave S,New York,NY,10016,(212) 683-4919,https://www.mcdonalds.com/us/en-us/location/ny/new-york/401-park-ave-s/14971.html
690 Alameda St,Los Angeles,CA,90021,(213) 880-4364,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/690-alameda-st/18368.html
114 Delancey St,New York,NY,10002,(212) 529-9770,https://www.mcdonalds.com/us/en-us/location/ny/new-york/114-delancey-st/20219.html
341 S Vermont Ave,Los Angeles,CA,90020-1806,(213) 383-6934,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/341-s-vermont-ave/1871.html
1071 Martin Luther King Jr Blvd,Los Angeles,CA,90037,(424) 944-3257,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/1071-martin-luther-king-jr-blvd/1126.html
82 Court St,Brooklyn,NY,11201,(929) 450-4962,https://www.mcdonalds.com/us/en-us/location/ny/brooklyn/82-court-st/4705.html
30 Mall Dr W (Newport Center Mall),Jersey City,NJ,07310,(201) 604-3871,https://www.mcdonalds.com/us/en-us/location/nj/jersey-city/30-mall-dr-w-newport-center-mall/18759.html
3124 N San Fernando Rd,Los Angeles,CA,90065-1413,(323) 256-0956,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/3124-n-san-fernando-rd/11605.html
1311 W Washington Blvd,Los Angeles,CA,90006,(213) 749-7221,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/1311-w-washington-blvd/24384.html
4348 W Sunset Blvd,Los Angeles,CA,90029-2112,(424) 471-2171,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/4348-w-sunset-blvd/1391.html
1417 Glendale Blvd,Los Angeles,CA,90026,(213) 483-8661,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/1417-glendale-blvd/1922.html
405 N Alvarado St,Los Angeles,CA,90026,(213) 321-6984,https://www.mcdonalds.com/us/en-us/location/ca/los-angeles/405-n-alvarado-st/12036.html
